clave;Make;Model;VIN
Hyundai-VelosterRE:MIX;Hyundai;VelosterRE:MIX;KMHTC6AD2DU088424
Hyundai-VelosterDual;Hyundai;VelosterDual;KMHTC6AD5HU309620
Hyundai-TucsonAWD;Hyundai;TucsonAWD;KM8JTCAFXFU977367
Hyundai-Azera4dr;Hyundai;Azera4dr;KMHFC4DF4AA459501
Hyundai-TucsonGL;Hyundai;TucsonGL;KM8JT3AB5DU588789
Hyundai-AzeraSedan;Hyundai;AzeraSedan;KMHFG4JG7EA409778
Hyundai-VelosterTurbo;Hyundai;VelosterTurbo;KMHTC6AE4FU222443
Hyundai-VelosterValue;Hyundai;VelosterValue;KMHTC6AD7HU306430
Hyundai-Veloster3dr;Hyundai;Veloster3dr;KMHTC6AD8CU031613
Hyundai-Tucson4WD;Hyundai;Tucson4WD;KM8JN72D18U912294
Hyundai-TucsonLimited;Hyundai;TucsonLimited;KM8JU3AG1EU904974
Hyundai-Santa;Hyundai;Santa;5XYZT3LB6GG348659
Hyundai-VelosterRE:FLEX;Hyundai;VelosterRE:FLEX;KMHTC6AD5FU244796
Hyundai-Tucson4dr;Hyundai;Tucson4dr;KM8JN72D95U135794
Hyundai-TucsonEco;Hyundai;TucsonEco;KM8J3CA24HU315588
Hyundai-TucsonSport;Hyundai;TucsonSport;KM8J33A26HU316886
Hyundai-AzeraLimited;Hyundai;AzeraLimited;KMHFH4JGXEA421050
Hyundai-SonataBase;Hyundai;SonataBase;KMHWF25V8XA096632
Hyundai-Accent;Hyundai;Accent;KMHCG4SC02U326908
Hyundai-Genesis4dr;Hyundai;Genesis4dr;KMHGC46E89U028968
Hyundai-TucsonNight;Hyundai;TucsonNight;KM8J33A27HU453352
Hyundai-Ioniq;Hyundai;Ioniq;KMHC75LC5HU031191
Hyundai-XG3004dr;Hyundai;XG3004dr;KMHFU45D31A120903
Hyundai-Genesis3.8;Hyundai;Genesis3.8;KMHGC4DD3DU226795
Hyundai-VeracruzAWD;Hyundai;VeracruzAWD;KM8NU73C28U061732
Hyundai-TucsonWalking;Hyundai;TucsonWalking;KM8JUCAG7EU941690
Hyundai-VeracruzFWD;Hyundai;VeracruzFWD;KM8NU4CC6BU148636
Hyundai-Veloster1.6L;Hyundai;Veloster1.6L;KMHTC6AE7GU267930
Hyundai-XG3504dr;Hyundai;XG3504dr;KMHFU45EX4A284078
Hyundai-Genesis5.0;Hyundai;Genesis5.0;KMHGC4DH5EU262444
Hyundai-Entourage4dr;Hyundai;Entourage4dr;KNDMC233476031799
Hyundai-Genesis3.8L;Hyundai;Genesis3.8L;KMHGN4JE3FU033394
Hyundai-GenesisV6;Hyundai;GenesisV6;KMHGN4JE3GU107639
Hyundai-Azera3.3L;Hyundai;Azera3.3L;KMHFG4JG0HA577251
Hyundai-Equus4dr;Hyundai;Equus4dr;KMHGH4JH4CU053182
Hyundai-EquusSignature;Hyundai;EquusSignature;KMHGH4JH5DU063138
Hyundai-Genesis5.0L;Hyundai;Genesis5.0L;KMHGN4JF8FU050376
Hyundai-EquusUltimate;Hyundai;EquusUltimate;KMHGH4JH5EU074013
INFINITI-M45Sport;INFINITI;M45Sport;JNKBY01E66M207309
INFINITI-M45Base;INFINITI;M45Base;JNKAY41E64M400947
INFINITI-G25;INFINITI;G25;JN1DV6AR9BM451719
INFINITI-M454dr;INFINITI;M454dr;JNKBY01EX7M403772
INFINITI-QX4Luxury;INFINITI;QX4Luxury;JNRDR09X03W250458
INFINITI-QX4QX4;INFINITI;QX4QX4;JNRAR07Y8XW069628
INFINITI-M354dr;INFINITI;M354dr;JNKAY01F07M458350
INFINITI-G37;INFINITI;G37;JN1CV6AR8DM354347
INFINITI-G35;INFINITI;G35;JNKCV51F85M305498
INFINITI-G20Luxury;INFINITI;G20Luxury;JNKCP11A8YT303848
INFINITI-G20Touring;INFINITI;G20Touring;JNKCP11A5XT004607
INFINITI-Q50AWD;INFINITI;Q50AWD;JN1BV7AR1FM419317
INFINITI-Q40RWD;INFINITI;Q40RWD;JN1CV6AP3FM501725
INFINITI-Q40AWD;INFINITI;Q40AWD;JN1CV6AR8FM522359
INFINITI-I35Luxury;INFINITI;I35Luxury;JNKDA31A53T108560
INFINITI-Q50RWD;INFINITI;Q50RWD;JN1BV7AP6EM689642
INFINITI-M35x;INFINITI;M35x;JNKAY01F76M257883
INFINITI-M35Sport;INFINITI;M35Sport;JNKAY01E66M102331
INFINITI-Q50Hybrid;INFINITI;Q50Hybrid;JN1AV7AR1EM702195
INFINITI-EX35RWD;INFINITI;EX35RWD;JN1AJ0HP5AM703044
INFINITI-M35Base;INFINITI;M35Base;JNKAY01E66M102197
INFINITI-EX35AWD;INFINITI;EX35AWD;JNKAJ09F18M359692
INFINITI-Q504dr;INFINITI;Q504dr;JN1BV7AR6EM697029
INFINITI-QX50AWD;INFINITI;QX50AWD;JN1BJ0HR7FM771617
INFINITI-Q503.0t;INFINITI;Q503.0t;JN1EV7APXHM734096
INFINITI-Q502.0t;INFINITI;Q502.0t;JN1CV7AP3HM640181
INFINITI-EX37EX37;INFINITI;EX37EX37;JN1BJ0HR0DM481488
INFINITI-QX50RWD;INFINITI;QX50RWD;JN1BJ0HP4FM730781
INFINITI-QX30Base;INFINITI;QX30Base;SJKCH5CP2HA033161
INFINITI-FX35AWD;INFINITI;FX35AWD;JNRAS08W15X216560
INFINITI-FX35Base;INFINITI;FX35Base;JNRAS08U05X102936
INFINITI-QX30Sport;INFINITI;QX30Sport;SJKCH5CP4HA016507
INFINITI-Q70V6;INFINITI;Q70V6;JN1BY1AP2FM541350
INFINITI-QX602WD;INFINITI;QX602WD;5N1AL0MN6EC504815
INFINITI-FX354dr;INFINITI;FX354dr;JNRAS08W17X206890
INFINITI-QX60FWD;INFINITI;QX60FWD;5N1AL0MN5FC542814
INFINITI-Q50;INFINITI;Q50;JN1BV78RDEM690173
INFINITI-M35hM35h;INFINITI;M35hM35h;JN1EY1AP1DM650151
INFINITI-QX30Luxury;INFINITI;QX30Luxury;SJKCH5CR5HA033317
INFINITI-FX45AWD;INFINITI;FX45AWD;JNRBS08W94X403225
INFINITI-QX60AWD;INFINITI;QX60AWD;5N1AL0MM9EC506047
INFINITI-FX35RWD;INFINITI;FX35RWD;JNRAS08U48X102202
INFINITI-I30Luxury;INFINITI;I30Luxury;JNKCA31A41T005073
INFINITI-QX30FWD;INFINITI;QX30FWD;SJKCH5CP9HA015353
INFINITI-I30Touring;INFINITI;I30Touring;JNKCA31A5YT206605
INFINITI-FX37FX37;INFINITI;FX37FX37;JN8CS1MW4DM172496
INFINITI-QX30Premium;INFINITI;QX30Premium;SJKCH5CR3HA039116
INFINITI-M374dr;INFINITI;M374dr;JN1BY1AP5BM323087
INFINITI-Q60;INFINITI;Q60;JN1CV6EL4EM131262
INFINITI-QX30AWD;INFINITI;QX30AWD;SJKCH5CR8HA030041
INFINITI-Q70LV6;INFINITI;Q70LV6;JN1BY1PP2FM601652
INFINITI-M564dr;INFINITI;M564dr;JN1AY1APXBM520039
INFINITI-FX35with;INFINITI;FX35with;JNRAS08U73X101666
INFINITI-QX60Hybrid;INFINITI;QX60Hybrid;5N1CL0MN8EC511287
INFINITI-EX37Journey;INFINITI;EX37Journey;JN1BJ0HR7DM480290
INFINITI-Q45Base;INFINITI;Q45Base;JNKBF01A82M007657
INFINITI-M56x;INFINITI;M56x;JN1AY1ARXCM580194
INFINITI-FX50AWD;INFINITI;FX50AWD;JNRBS18W49M200452
INFINITI-QX70AWD;INFINITI;QX70AWD;JN8CS1MW6GM750117
INFINITI-QX70RWD;INFINITI;QX70RWD;JN8CS1MU4GM670586
INFINITI-I30Limited;INFINITI;I30Limited;JNKCA21A5XT763975
INFINITI-M37Base;INFINITI;M37Base;JN1BY1AP9CM333302
INFINITI-M37x;INFINITI;M37x;JN1BY1AR7CM395606
INFINITI-M37M37;INFINITI;M37M37;JN1BY1AP5DM510512
INFINITI-FX35Limited;INFINITI;FX35Limited;JN8AS1MW7CM151504
INFINITI-QX70V6;INFINITI;QX70V6;JN8CS1MW1EM413240
INFINITI-QX564dr;INFINITI;QX564dr;5N3AA08A27N800846
INFINITI-Q603.0t;INFINITI;Q603.0t;JN1EV7EK5HM361225
INFINITI-QX562WD;INFINITI;QX562WD;5N3AA08A56N813010
INFINITI-JX35JX35;INFINITI;JX35JX35;5N1AL0MM2DC312409
INFINITI-M37M37x;INFINITI;M37M37x;JN1BY1AR1DM603240
INFINITI-QX60Base;INFINITI;QX60Base;5N1AL0MM5EC543970
INFINITI-QX564WD;INFINITI;QX564WD;5N3AA08C56N804129
INFINITI-Q602.0t;INFINITI;Q602.0t;JN1CV7EL6HM320098
INFINITI-M56M56;INFINITI;M56M56;JN1AY1AP7DM540025
INFINITI-I30Automatic;INFINITI;I30Automatic;JNKCA21A2XT779356
INFINITI-QX56RWD;INFINITI;QX56RWD;5N3AA08D58N903139
INFINITI-Q703.7;INFINITI;Q703.7;JN1BY1AP5HM740072
INFINITI-Q45Premium;INFINITI;Q45Premium;JNKBF01A04M500624
INFINITI-M56M56x;INFINITI;M56M56x;JN1AY1AR1DM590033
INFINITI-QX56AWD;INFINITI;QX56AWD;5N3AA08C58N911152
INFINITI-Q50Red;INFINITI;Q50Red;JN1FV7APXHM850502
INFINITI-FX50FX50;INFINITI;FX50FX50;JN8BS1MW3DM100104
INFINITI-Q70LV8;INFINITI;Q70LV8;JN1AY1PP9FM170142
INFINITI-Q45with;INFINITI;Q45with;JNKBY31A2WM400717
INFINITI-Q70V8;INFINITI;Q70V8;JN1AY1ARXFM160052
INFINITI-FX352;INFINITI;FX352;JNRAS08U06X100833
INFINITI-Q70hHybrid;INFINITI;Q70hHybrid;JN1EY1AP1GM470060
INFINITI-Q70L3.7;INFINITI;Q70L3.7;JN1BY1PP2HM170345
INFINITI-QX60;INFINITI;QX60;5N1CL0MNXHC523512
INFINITI-QX56Base;INFINITI;QX56Base;JN8AZ2NC6C9315463
INFINITI-QX70V8;INFINITI;QX70V8;JN8BS1MW4EM400025
INFINITI-QX802WD;INFINITI;QX802WD;JN8AZ2NF0E9554133
INFINITI-QX804WD;INFINITI;QX804WD;JN8AZ2NCXE9352485
INFINITI-Q70L5.6;INFINITI;Q70L5.6;JN1AY1PR2HM150030
INFINITI-Q705.6;INFINITI;Q705.6;JN1AY1AR2HM650004
INFINITI-QX80RWD;INFINITI;QX80RWD;JN8AZ2NF6H9641720
INFINITI-QX80AWD;INFINITI;QX80AWD;JN8AZ2NE5H9154614
Isuzu-i-2902WD;Isuzu;i-2902WD;1GGCS199778703426
Isuzu-Axiom4dr;Isuzu;Axiom4dr;4S2DE58Y944602599
Isuzu-i-2802dr;Isuzu;i-2802dr;1GGCS198868702114
Isuzu-Rodeo4dr;Isuzu;Rodeo4dr;4S2CK58Y044308187
Isuzu-Trooper4dr;Isuzu;Trooper4dr;JACDJ58X517J17691
Isuzu-VehiCROSS2dr;Isuzu;VehiCROSS2dr;JACCN57X8X7991043
Isuzu-Ascender4dr;Isuzu;Ascender4dr;4NUDT13S252700906
Isuzu-Ascender2WD;Isuzu;Ascender2WD;4NUDS13S272700829
Isuzu-HombreSpacecab;Isuzu;HombreSpacecab;1GGCS1947W8667692
Isuzu-HombreReg;Isuzu;HombreReg;1GGCS1443W8662660
Isuzu-i-3504dr;Isuzu;i-3504dr;1GGDT136768702288
Jaguar-XK82dr;Jaguar;XK82dr;SAJDA42C72NA29082
Jaguar-S-TYPE4dr;Jaguar;S-TYPE4dr;SAJEA01T93FM49837
Jaguar-XFPremium;Jaguar;XFPremium;SAJWA0FS7FPU86713
Jaguar-X-TYPE4dr;Jaguar;X-TYPE4dr;SAJWA51A18WJ29659
Jaguar-XF4dr;Jaguar;XF4dr;SAJWA06B39HR11651
Jaguar-XFI4;Jaguar;XFI4;SAJWA0ES5EPU16630
Jaguar-XFXF;Jaguar;XFXF;SAJWA0ES6DPU06252
Jaguar-XF2009;Jaguar;XF2009;SAJWA06B19HR02737
Jaguar-XFSport;Jaguar;XFSport;SAJWA0F76F8U76308
Jaguar-XFPortfolio;Jaguar;XFPortfolio;SAJXA0HB0CLS30336
Jaguar-XFV6;Jaguar;XFV6;SAJWJ0EF9E8U26414
Jaguar-XF35t;Jaguar;XF35t;SAJBD4BV0HCY32978
Jaguar-XK2dr;Jaguar;XK2dr;SAJWA43B885B24953
Jaguar-XJ4dr;Jaguar;XJ4dr;SAJWA79C55SG43229
Jaguar-XE25t;Jaguar;XE25t;SAJAR4BG2HA967003
Jaguar-XK;Jaguar;XK;SAJWA43B095B32174
Jaguar-XJ;Jaguar;XJ;SAJWA82B69SH29713
Jaguar-XE20d;Jaguar;XE20d;SAJAR4BN6HA952129
Jaguar-XF;Jaguar;XF;SAJXJ0EF1F8U47991
Jaguar-XFV8;Jaguar;XFV8;SAJWA0HP2EMU12771
Jaguar-XE35t;Jaguar;XE35t;SAJAD4BV3HA955858
Jaguar-XFXFR;Jaguar;XFXFR;SAJWA0JH7EMU13885
Jaguar-XF20d;Jaguar;XF20d;SAJBR4BN1HCY32294
Jaguar-XJL;Jaguar;XJL;SAJWA2GZ4F8V78119
Jaguar-XKXK;Jaguar;XKXK;SAJWA4DB9ELB52234
Jaguar-XJRWD;Jaguar;XJRWD;SAJWA1C77D8V41934
Jaguar-XKXKR;Jaguar;XKXKR;SAJWA4DC1DMB51676
Jaguar-XJAWD;Jaguar;XJAWD;SAJWJ1CD7D8V49179
Jaguar-XFR;Jaguar;XFR;SAJWA0JH3FMU39644
Jaguar-XFS;Jaguar;XFS;SAJBG4BV5GCY04406
Jaguar-XFSupercharged;Jaguar;XFSupercharged;SAJWA0HP8FMU66609
Jaguar-F-PACE35t;Jaguar;F-PACE35t;SADCS2BV6HA058796
Jaguar-XJBase;Jaguar;XJBase;SAJWJ1CD7D8V54124
Jaguar-F-PACE25t;Jaguar;F-PACE25t;SADCJ2FX8JA255862
Jaguar-F-PACE20d;Jaguar;F-PACE20d;SADCJ2BN9HA091102
Jaguar-XJSupercharged;Jaguar;XJSupercharged;SAJWA3HT3DMV57671
Jaguar-XKCoupe;Jaguar;XKCoupe;SAJWA4FB0FLB54758
Jaguar-XKR;Jaguar;XKR;SAJWA4DC6FMB55368
Jaguar-XJR;Jaguar;XJR;SAJWA1EK5EMV60573
Jaguar-XFXFR-S;Jaguar;XFXFR-S;SAJWA0KZ5DMS93218
Jaguar-XFR-Sport;Jaguar;XFR-Sport;SAJBL4BV4GCY15585
Jaguar-F-TYPEF-Type;Jaguar;F-TYPEF-Type;SAJWA6E77E8K09374
Jaguar-XKConvertible;Jaguar;XKConvertible;SAJWA4GB0FLB55214
Jaguar-F-TYPECoupe;Jaguar;F-TYPECoupe;SAJWA6A7XF8K13555
Jaguar-F-TYPEConvertible;Jaguar;F-TYPEConvertible;SAJWA6ETXG8K34527
Jaguar-F-PACES;Jaguar;F-PACES;SADCM2BVXHA897165
Jaguar-XJR-Sport;Jaguar;XJR-Sport;SAJWA1C70G8V93989
Jaguar-XJXJL;Jaguar;XJXJL;SAJWA2G74H8W04896
Jaguar-XKXKR-S;Jaguar;XKXKR-S;SAJWA4HA0DMB49247
Jaguar-XFR-S;Jaguar;XFR-S;SAJWA0KZ8FMU47231
Jaguar-F-PACEFirst;Jaguar;F-PACEFirst;SADCP2BV7HA051342
Jaguar-XKR-S;Jaguar;XKR-S;SAJWA4HA0FMB55293
Jaguar-F-TYPESVR;Jaguar;F-TYPESVR;SAJWJ6J89HMK41723
Jeep-CompassSport;Jeep;CompassSport;1C4NJDBB2GD719052
Jeep-CompassLatitude;Jeep;CompassLatitude;1C4NJCEA1DD230148
Jeep-CompassHigh;Jeep;CompassHigh;1C4NJCEA0GD612868
Jeep-Cherokee4WD;Jeep;Cherokee4WD;1C4PJMCS6FW792516
Jeep-CompassFWD;Jeep;CompassFWD;1C4NJCBA5CD637022
Jeep-Compass4WD;Jeep;Compass4WD;1J4NF1FB5BD281737
Jeep-CherokeeLatitude;Jeep;CherokeeLatitude;1C4PJLCB1HW516211
Jeep-CherokeeSport;Jeep;CherokeeSport;1C4PJLAB3FW712912
Jeep-CompassAltitude;Jeep;CompassAltitude;1C4NJCBA4ED796858
Jeep-CherokeeFWD;Jeep;CherokeeFWD;1C4PJLAB6GW171176
Jeep-Compass75th;Jeep;Compass75th;1C4NJCBB1GD785313
Jeep-CompassLatutide;Jeep;CompassLatutide;1C4NJDEB9GD616982
Jeep-RenegadeSport;Jeep;RenegadeSport;ZACCJAAH0HPF42547
Jeep-PatriotSport;Jeep;PatriotSport;1C4NJPBA0GD761177
Jeep-CompassLimited;Jeep;CompassLimited;1C4NJCCB7ED582647
Jeep-CherokeeAltitude;Jeep;CherokeeAltitude;1C4PJLAB9HW641671
Jeep-CherokeeLimited;Jeep;CherokeeLimited;1C4PJLDB5HW516338
Jeep-PatriotLatitude;Jeep;PatriotLatitude;1C4NJPFA5HD161315
Jeep-CherokeeHigh;Jeep;CherokeeHigh;1C4PJLDB1HW526333
Jeep-Compass2WD;Jeep;Compass2WD;1J8FT47W17D146034
Jeep-PatriotFWD;Jeep;PatriotFWD;1C4NJPBB5CD576383
Jeep-Compass2017.5;Jeep;Compass2017.5;3C4NJCBB0HT669631
Jeep-Compass;Jeep;Compass;1J4NF4FB9BD240030
Jeep-RenegadeLatitude;Jeep;RenegadeLatitude;ZACCJABHXFPC05380
Jeep-Patriot75th;Jeep;Patriot75th;1C4NJPBBXGD603972
Jeep-PatriotAltitude;Jeep;PatriotAltitude;1C4NJPBAXFD419122
Jeep-PatriotHigh;Jeep;PatriotHigh;1C4NJPFA2GD583122
Jeep-PatriotLimited;Jeep;PatriotLimited;1C4NJPCB2DD177964
Jeep-Patriot4WD;Jeep;Patriot4WD;1C4NJRBB5CD553567
Jeep-RenegadeLimited;Jeep;RenegadeLimited;ZACCJADB7HPE38676
Jeep-Cherokee75th;Jeep;Cherokee75th;1C4PJMCB7HW529146
Jeep-LibertyRWD;Jeep;LibertyRWD;1C4PJLAKXCW180246
Jeep-CherokeeTrailhawk;Jeep;CherokeeTrailhawk;1C4PJMBB7HW527964
Jeep-Grand;Jeep;Grand;1C4RJFAG6CC134954
Jeep-Renegade75th;Jeep;Renegade75th;ZACCJABT1GPC46549
Jeep-PatriotNorth;Jeep;PatriotNorth;1C4NJRAB4FD108596
Jeep-Liberty4dr;Jeep;Liberty4dr;1J4GL48K73W725870
Jeep-Liberty4WD;Jeep;Liberty4WD;1J4PN2GK3BW573522
Jeep-RenegadeJustice;Jeep;RenegadeJustice;ZACCJBBT6GPD39346
Jeep-CommanderRWD;Jeep;CommanderRWD;1J8HH48K18C183050
Jeep-Renegade4WD;Jeep;Renegade4WD;ZACCJAAT0FPB71757
Jeep-Patriot2WD;Jeep;Patriot2WD;1J8FT28W87D309913
Jeep-RenegadeTrailhawk;Jeep;RenegadeTrailhawk;ZACCJBCT0FPB69048
Jeep-CherokeeOverland;Jeep;CherokeeOverland;1C4PJLJB3HW510395
Jeep-Cherokee4dr;Jeep;Cherokee4dr;1J4FF48S3YL149514
Jeep-Commander4WD;Jeep;Commander4WD;1J8HG48N28C156260
Jeep-Commander4dr;Jeep;Commander4dr;1J8HG48K76C231618
Jeep-CompassTrailhawk;Jeep;CompassTrailhawk;3C4NJDDB7JT129234
Jeep-Liberty2WD;Jeep;Liberty2WD;1J4GK48K07W510484
Jeep-Cherokee2dr;Jeep;Cherokee2dr;1J4FF47S4YL206160
Jeep-Commander2WD;Jeep;Commander2WD;1J8HH48P07C502013
Jeep-CherokeeL;Jeep;CherokeeL;1C4PJMBB5HW517398
Jeep-LibertySport;Jeep;LibertySport;1J4PN2GK1BW593008
Jeep-RenegadeAltitude;Jeep;RenegadeAltitude;ZACCJBBB0HPE86805
Jeep-Patriot;Jeep;Patriot;1J4NF2GB1BD109290
Jeep-RenegadeDeserthawk;Jeep;RenegadeDeserthawk;ZACCJBCB0HPE82641
Jeep-Wrangler2dr;Jeep;Wrangler2dr;1J4FA29176P786369
Jeep-WranglerSport;Jeep;WranglerSport;1C4AJWAG8FL534600
Jeep-Wrangler4WD;Jeep;Wrangler4WD;1J4AA2D10BL514085
Jeep-Wrangler2WD;Jeep;Wrangler2WD;1J4GB39137L227692
Jeep-WranglerWillys;Jeep;WranglerWillys;1C4AJWAG5GL204155
Jeep-WranglerRWD;Jeep;WranglerRWD;1J4GB39148L517943
Jeep-WranglerFreedom;Jeep;WranglerFreedom;1C4AJWAG0GL112502
Jeep-WranglerRubicon;Jeep;WranglerRubicon;1C4BJWCG8FL700048
Jeep-WranglerSahara;Jeep;WranglerSahara;1C4AJWBG1DL585352
Jeep-WranglerBlack;Jeep;WranglerBlack;1C4AJWAG2GL179845
Jeep-WranglerBackcountry;Jeep;WranglerBackcountry;1C4AJWBG1GL200635
Jeep-Wrangler;Jeep;Wrangler;1C4BJWEG8FL705845
Jeep-Wrangler75th;Jeep;Wrangler75th;1C4AJWBG9GL194826
Jeep-WranglerX;Jeep;WranglerX;1C4AJWBG0FL534413
Jeep-WranglerBig;Jeep;WranglerBig;1C4AJWAG2HL603493
Jeep-WranglerPolar;Jeep;WranglerPolar;1C4AJWBG8EL218319
Jeep-Patriot4x4;Jeep;Patriot4x4;1C4NJRAB3ED805191
Jeep-WranglerUnlimited;Jeep;WranglerUnlimited;1J8GA59148L574124
Jeep-WranglerAltitude;Jeep;WranglerAltitude;1C4AJWBG4EL286276
Jeep-WranglerHard;Jeep;WranglerHard;1C4BJWCGXFL653640
Jeep-WranglerLWBU;Jeep;WranglerLWBU;1J4FA44506PZ17826
Jeep-WranglerChief;Jeep;WranglerChief;1C4AJWBG4HL620083
Jeep-WranglerMoab;Jeep;WranglerMoab;1C4AJWBG2DL567152
Kia-ForteManual;Kia;ForteManual;KNAFK4A68G5616442
Kia-ForteAutomatic;Kia;ForteAutomatic;KNAFK4A68G5467241
Kia-ForteLX;Kia;ForteLX;3KPFK4A79HE026722
Kia-Forte4dr;Kia;Forte4dr;KNAFT4A29C5585402
Kia-ForteS;Kia;ForteS;3KPFL4A71HE050915
Kia-Spectra4dr;Kia;Spectra4dr;KNAFE221395616432
Kia-ForteEX;Kia;ForteEX;KNAFX4A89F5322453
Kia-RioSedan;Kia;RioSedan;KNADM4A30G6646164
Kia-RioLX;Kia;RioLX;KNADM4A35H6015718
Kia-OptimaLX;Kia;OptimaLX;5XXGM4A75FG399145
Kia-Rio5-door;Kia;Rio5-door;KNADM5A36G6646269
Kia-OptimaEX;Kia;OptimaEX;5XXGN4A72FG442790
Kia-Optima4dr;Kia;Optima4dr;KNAGM4A70B5068193
Kia-Spectra5dr;Kia;Spectra5dr;KNAFE161185014812
Kia-Forte;Kia;Forte;KNAFK5A87G5635586
Kia-Rio5dr;Kia;Rio5dr;KNADM5A35C6014423
Kia-Rio4dr;Kia;Rio4dr;KNADE223196549784
Kia-ForteSX;Kia;ForteSX;KNAFW4A37D5738943
Kia-RioEX;Kia;RioEX;KNADM4A38H6013574
Kia-Optima;Kia;Optima;KNAGM4AD5F5085356
Kia-Forte5LX;Kia;Forte5LX;KNAFK5A84H5667414
Kia-SportageAWD;Kia;SportageAWD;KNDPBCAC0G7877995
Kia-OptimaSX;Kia;OptimaSX;5XXGR4A69FG474289
Kia-SportageLX;Kia;SportageLX;KNDPB3AC0F7671784
Kia-SportageFWD;Kia;SportageFWD;KNDPB3AC5G7838125
Kia-Soul;Kia;Soul;KNDJP3AE8G7006139
Kia-Sportage2WD;Kia;Sportage2WD;KNDPM3AC2H7070213
Kia-SoulManual;Kia;SoulManual;KNDJN2A20E7731883
Kia-Borrego2WD;Kia;Borrego2WD;KNDJJ741095027339
Kia-Rio;Kia;Rio;KNADM5A31H6027791
Kia-Sephia4dr;Kia;Sephia4dr;KNAFB121115092348
Kia-SportageBase;Kia;SportageBase;KNDPB3A28D7457629
Kia-SorentoLX;Kia;SorentoLX;5XYKT3A62FG601191
Kia-Borrego4WD;Kia;Borrego4WD;KNDJH741995020241
Kia-SorentoL;Kia;SorentoL;5XYPG4A32GG139125
Kia-SoulAutomatic;Kia;SoulAutomatic;KNDJN2A22F7773733
Kia-SorentoAWD;Kia;SorentoAWD;5XYKTCA65CG237344
Kia-Sportage4WD;Kia;Sportage4WD;KNDJE723887542035
Kia-Soul+;Kia;Soul+;KNDJP3A55H7465596
Kia-OptimaLimited;Kia;OptimaLimited;5XXGR4A61EG292360
Kia-Optima2006.5;Kia;Optima2006.5;KNAGE124365026218
Kia-Sedona4dr;Kia;Sedona4dr;KNDMG4C73C6429535
Kia-Soul5dr;Kia;Soul5dr;KNDJT2A6XC7385847
Kia-SportageEX;Kia;SportageEX;KNDPC3AC2F7766618
Kia-SportageSX;Kia;SportageSX;KNDPC3A67D7374709
Kia-Sorento2WD;Kia;Sorento2WD;5XYKT3A13CG301000
Kia-Sportage4dr;Kia;Sportage4dr;KNDJF724567170415
Kia-Amanti4dr;Kia;Amanti4dr;KNALD124145017287
Kia-OptimaSXL;Kia;OptimaSXL;5XXGV4L2XGG030734
Kia-Sorento4dr;Kia;Sorento4dr;KNDJD733465638271
Kia-Forte5EX;Kia;Forte5EX;KNAFX5A89H5675574
Kia-Soul!;Kia;Soul!;KNDJP3A54G7818957
Kia-SedonaEX;Kia;SedonaEX;KNDMH4C70E6571938
Kia-NiroEX;Kia;NiroEX;KNDCC3LC7H5038772
Kia-OptimaS;Kia;OptimaS;5XXGT4L34JG191425
Kia-NiroFE;Kia;NiroFE;KNDCB3LC5H5065603
Kia-Sorento4WD;Kia;Sorento4WD;KNDJC736575672413
Kia-SorentoEX;Kia;SorentoEX;5XYKU3A6XDG398755
Kia-SedonaLX;Kia;SedonaLX;KNDMG4C76E6574412
Kia-NiroLX;Kia;NiroLX;KNDCB3LC3H5050307
Kia-SoulBase;Kia;SoulBase;KNDJP3A5XG7349292
Kia-SoulEV;Kia;SoulEV;KNDJP3AE7G7016273
Kia-Forte5SX;Kia;Forte5SX;3KPFN5A38HE054084
Kia-SorentoSX;Kia;SorentoSX;5XYKW4A20DG380763
Kia-SedonaL;Kia;SedonaL;KNDMA5C1XF6029401
Kia-Sedona;Kia;Sedona;KNDMB233X86254546
Kia-Rondo4dr;Kia;Rondo4dr;KNAFG528797259897
Kia-Soul#NAME?;Kia;Soul#NAME?;KNDJP3A58J7512982
Kia-SorentoLimited;Kia;SorentoLimited;5XYKW4A77EG484325
Kia-SoulExclaim;Kia;SoulExclaim;KNDJX3A59F7792693
Kia-NiroTouring;Kia;NiroTouring;KNDCE3LC4H5043177
Kia-SedonaSX;Kia;SedonaSX;KNDMC5C10F6045116
Kia-CadenzaPremium;Kia;CadenzaPremium;KNALN4D76F5190828
Kia-CadenzaSedan;Kia;CadenzaSedan;KNALN4D79G5215464
Kia-CadenzaLimited;Kia;CadenzaLimited;KNALN4D79E5134834
Kia-K900Luxury;Kia;K900Luxury;KNALW4D44F6023171
Kia-K900Premium;Kia;K900Premium;KNALU4D42F6027211
Kia-K900V6;Kia;K900V6;KNALU4D35G6031651
Kia-SedonaLimited;Kia;SedonaLimited;KNDME5C18F6032351
Kia-K900V8;Kia;K900V8;KNALW4D46G6032228
Kia-SedonaSX-L;Kia;SedonaSX-L;KNDME5C16H6271979
Kia-Sportage2dr;Kia;Sportage2dr;KNDJA623XX5586456
Kia-CadenzaTechnology;Kia;CadenzaTechnology;KNALC4J17H5072098
Lamborghini-Gallardo2dr;Lamborghini;Gallardo2dr;ZHWGU11S74LA00116
Lamborghini-Gallardo;Lamborghini;Gallardo;ZHWGU22T66LA03668
Lamborghini-GallardoCoupe;Lamborghini;GallardoCoupe;ZHWGU5BZ6DLA13667
Lamborghini-Murcielago6.2L;Lamborghini;Murcielago6.2L;ZA9BC10U02LA12166
